rank_date,rank,country_full,country_abrv,total_points,previous_points,rank_change,confederation
08-08-1993,163,Chad,CHA,0,0,-8,CAF
08-08-1993,164,Vanuatu,VAN,0,0,-5,OFC
08-08-1993,165,Aruba,ARU,0,0,-5,CONCACAF
08-08-1993,166,Bahamas,BAH,0,0,-4,CONCACAF
08-08-1993,167,Maldives,MDV,0,0,-4,AFC
08-08-1993,167,Macau,MAC,0,0,0,AFC
23-09-1993,1,Brazil,BRA,0,54,7,CONMEBOL
23-09-1993,2,Italy,ITA,0,56,0,UEFA
23-09-1993,3,Norway,NOR,0,54,6,UEFA
23-09-1993,4,Denmark,DEN,0,53,6,UEFA
23-09-1993,5,England,ENG,0,52,6,UEFA
23-09-1993,5,Germany,GER,0,57,-4,UEFA
23-09-1993,7,France,FRA,0,51,5,UEFA
23-09-1993,8,Russia,RUS,0,54,-1,UEFA
23-09-1993,9,Republic of Ireland,IRL,0,55,-3,UEFA
23-09-1993,10,Switzerland,SUI,0,56,-7,UEFA
23-09-1993,11,Sweden,SWE,0,56,-7,UEFA
23-09-1993,12,Argentina,ARG,0,56,-7,CONMEBOL
23-09-1993,13,Netherlands,NED,0,49,3,UEFA
23-09-1993,14,Spain,ESP,0,50,-1,UEFA
23-09-1993,15,Uruguay,URU,0,45,7,CONMEBOL
23-09-1993,16,Mexico,MEX,0,50,-2,CONCACAF
23-09-1993,17,RCS,TCH,0,50,-2,UEFA
23-09-1993,18,Nigeria,NGA,0,49,-1,CAF
23-09-1993,19,Colombia,COL,0,47,0,CONMEBOL
23-09-1993,20,Romania,ROU,0,47,1,UEFA
23-09-1993,21,Portugal,POR,0,45,2,UEFA
23-09-1993,22,Poland,POL,0,47,-2,UEFA
23-09-1993,23,Cameroon,CMR,0,45,1,CAF
23-09-1993,24,Belgium,BEL,0,47,-6,UEFA
23-09-1993,25,Egypt,EGY,0,44,1,CAF
23-09-1993,26,USA,USA,0,44,2,CONCACAF
23-09-1993,27,Zambia,ZAM,0,44,-2,CAF
23-09-1993,28,Scotland,SCO,0,41,2,UEFA
23-09-1993,29,Wales,WAL,0,44,-2,UEFA
23-09-1993,30,Algeria,ALG,0,39,4,CAF
23-09-1993,31,Ivory Coast,CIV,0,42,-2,CAF
23-09-1993,32,Morocco,MAR,0,40,1,CAF
23-09-1993,33,Austria,AUT,0,39,5,UEFA
23-09-1993,34,Tunisia,TUN,0,40,-3,CAF
23-09-1993,35,Greece,GRE,0,40,-3,UEFA
23-09-1993,36,Korea Republic,KOR,0,39,0,AFC
23-09-1993,37,Bulgaria,BUL,0,39,0,UEFA
23-09-1993,38,Costa Rica,CRC,0,38,1,CONCACAF
23-09-1993,39,Honduras,HON,0,37,2,CONCACAF
23-09-1993,40,Northern Ireland,NIR,0,37,0,UEFA
23-09-1993,41,Ecuador,ECU,0,39,-6,CONMEBOL
23-09-1993,42,Ghana,GHA,0,33,6,CAF
23-09-1993,43,Japan,JPN,0,34,0,AFC
23-09-1993,44,Saudi Arabia,KSA,0,34,0,AFC
23-09-1993,45,China PR,CHN,0,34,0,AFC
23-09-1993,46,Canada,CAN,0,34,0,CONCACAF
23-09-1993,47,Zimbabwe,ZIM,0,33,3,CAF
23-09-1993,48,Hungary,HUN,0,36,-6,UEFA
23-09-1993,49,Iceland,ISL,0,31,4,UEFA
23-09-1993,50,Finland,FIN,0,34,-3,UEFA
23-09-1993,51,Gabon,GAB,0,28,13,CAF
23-09-1993,52,Chile,CHI,0,33,-3,CONMEBOL
23-09-1993,53,Bolivia,BOL,0,30,6,CONMEBOL
23-09-1993,54,Qatar,QAT,0,32,-3,AFC
23-09-1993,55,Paraguay,PAR,0,27,12,CONMEBOL
23-09-1993,56,United Arab Emirates,UAE,0,31,-1,AFC
23-09-1993,57,Senegal,SEN,0,30,1,CAF
23-09-1993,58,IR Iran,IRN,0,31,-4,AFC
23-09-1993,59,Iraq,IRQ,0,30,-2,AFC
23-09-1993,60,Guinea,GUI,0,27,5,CAF
23-09-1993,61,Kuwait,KUW,0,30,-1,AFC
23-09-1993,62,Yugoslavia,YUG,0,31,-6,UEFA
23-09-1993,63,El Salvador,SLV,0,29,-1,CONCACAF
23-09-1993,64,Korea DPR,PRK,0,30,-3,AFC
23-09-1993,65,Australia,AUS,0,31,-13,AFC
23-09-1993,66,Turkey,TUR,0,28,-3,UEFA
23-09-1993,67,Thailand,THA,0,27,-1,AFC
23-09-1993,68,Malawi,MWI,0,27,0,CAF
23-09-1993,69,Zaire,ZAI,0,25,2,CAF
23-09-1993,70,Mali,MLI,0,24,4,CAF
23-09-1993,71,Israel,ISR,0,26,-2,UEFA
23-09-1993,72,Kenya,KEN,0,17,16,CAF
23-09-1993,73,Peru,PER,0,26,-3,CONMEBOL
23-09-1993,74,Cyprus,CYP,0,24,-2,UEFA
23-09-1993,75,Singapore,SIN,0,24,-2,AFC
23-09-1993,76,Jamaica,JAM,0,19,7,CONCACAF
23-09-1993,77,Malaysia,MAS,0,22,-2,AFC
23-09-1993,78,Bermuda,BER,0,21,-2,CONCACAF
23-09-1993,79,Sierra Leone,SLE,0,18,7,CAF
23-09-1993,80,Bahrain,BHR,0,20,-1,AFC
23-09-1993,81,Syria,SYR,0,20,-3,AFC
23-09-1993,82,Niger,NIG,0,21,-5,CAF
23-09-1993,83,Madagascar,MAD,0,20,-2,CAF
23-09-1993,84,New Zealand,NZL,0,20,-4,OFC
23-09-1993,85,Malta,MLT,0,19,-3,UEFA
23-09-1993,86,Lithuania,LTU,0,18,-2,UEFA
23-09-1993,87,Latvia,LVA,0,16,2,UEFA
23-09-1993,88,Trinidad and Tobago,TRI,0,18,-3,CONCACAF
23-09-1993,89,Jordan,JOR,0,17,-2,AFC
23-09-1993,90,Yemen,YEM,0,16,0,AFC
23-09-1993,91,Albania,ALB,0,15,1,UEFA
23-09-1993,92,Ethiopia,ETH,0,14,3,CAF
23-09-1993,93,Swaziland,SWZ,0,11,9,CAF
23-09-1993,94,Venezuela,VEN,0,14,0,CONMEBOL
23-09-1993,95,South Africa,RSA,0,11,14,CAF
23-09-1993,96,Uganda,UGA,0,11,8,CAF
23-09-1993,97,Angola,ANG,0,15,-4,CAF
23-09-1993,98,Burundi,BDI,0,13,-2,CAF
23-09-1993,99,Tanzania,TAN,0,15,-8,CAF
23-09-1993,100,Oman,OMA,0,13,-3,AFC
23-09-1993,101,Congo,CGO,0,11,6,CAF
23-09-1993,102,Indonesia,IDN,0,13,-4,AFC
23-09-1993,103,Mozambique,MOZ,0,12,-3,CAF
23-09-1993,104,Togo,TOG,0,9,10,CAF
23-09-1993,105,Puerto Rico,PUR,0,11,-4,CONCACAF
23-09-1993,106,Hong Kong,HKG,0,11,-3,AFC
23-09-1993,107,Myanmar,MYA,0,11,-1,AFC
23-09-1993,108,Barbados,BRB,0,11,-3,CONCACAF
23-09-1993,109,Lebanon,LIB,0,11,-1,AFC
23-09-1993,110,Luxembourg,LUX,0,10,0,UEFA
23-09-1993,111,Faroe Islands,FRO,0,10,0,UEFA
23-09-1993,112,Liberia,LBR,0,12,-13,CAF
23-09-1993,113,Guatemala,GUA,0,10,-1,CONCACAF
23-09-1993,114,Suriname,SUR,0,9,1,CONCACAF
23-09-1993,115,Sudan,SDN,0,7,11,CAF
23-09-1993,116,Croatia,CRO,0,9,1,UEFA
23-09-1993,117,Estonia,EST,0,8,1,UEFA
23-09-1993,118,San Marino,SMR,0,8,1,UEFA
23-09-1993,119,Bangladesh,BAN,0,8,1,AFC
23-09-1993,119,Burkina Faso,BFA,0,9,-6,CAF
23-09-1993,121,Fiji,FIJ,0,9,-5,OFC
23-09-1993,122,Netherlands Antilles,ANT,0,7,0,CONCACAF
23-09-1993,123,St Vincent and the Grenadines,VIN,0,8,-2,CONCACAF
23-09-1993,124,Benin,BEN,0,7,0,CAF
23-09-1993,124,Mauritius,MRI,0,7,-1,CAF
23-09-1993,126,Panama,PAN,0,7,-1,CONCACAF
23-09-1993,127,Antigua and Barbuda,ATG,0,6,0,CONCACAF
23-09-1993,128,Slovenia,SVN,0,5,0,UEFA
23-09-1993,129,India,IND,0,5,0,AFC
23-09-1993,130,Guinea-Bissau,GNB,0,4,3,CAF
23-09-1993,131,Belarus,BLR,0,5,-1,UEFA
23-09-1993,132,Ukraine,UKR,0,4,-1,UEFA
23-09-1993,133,Vietnam,VIE,0,4,-1,AFC
23-09-1993,134,Guyana,GUY,0,4,0,CONCACAF
23-09-1993,135,Lesotho,LES,0,1,11,CAF
23-09-1993,136,Botswana,BOT,0,4,-1,CAF
23-09-1993,137,St Lucia,LCA,0,4,-1,CONCACAF
23-09-1993,138,Tahiti,TAH,0,4,-1,OFC
23-09-1993,139,Grenada,GRN,0,4,-1,CONCACAF
23-09-1993,140,Haiti,HAI,0,3,-1,CONCACAF
23-09-1993,141,Laos,LAO,0,2,0,AFC
23-09-1993,142,Cape Verde Islands,CPV,0,2,1,CAF
23-09-1993,143,Solomon Islands,SOL,0,2,1,OFC
23-09-1993,144,Mauritania,MTN,0,2,-2,CAF
23-09-1993,145,Brunei Darussalam,BRU,0,2,0,AFC
23-09-1993,147,Libya,LBY,0,2,-7,CAF
23-09-1993,148,Dominican Republic,DOM,0,1,0,CONCACAF
23-09-1993,149,Pakistan,PAK,0,1,0,AFC
23-09-1993,150,Nicaragua,NCA,0,0,0,CONCACAF
23-09-1993,151,Cuba,CUB,0,0,0,CONCACAF
23-09-1993,152,Seychelles,SEY,0,0,0,CAF
23-09-1993,152,Gambia,GAM,0,0,2,CAF
23-09-1993,154,Central African Republic,CTA,0,0,-1,CAF
23-09-1993,155,Namibia,NAM,0,0,0,CAF
23-09-1993,156,Cayman Islands,CAY,0,0,0,CONCACAF
23-09-1993,157,Liechtenstein,LIE,0,0,1,UEFA
23-09-1993,158,Nepal,NEP,0,0,-1,AFC
23-09-1993,159,Chinese Taipei,TPE,0,0,1,AFC
23-09-1993,159,Equatorial Guinea,EQG,0,0,0,CAF
23-09-1993,161,Sri Lanka,SRI,0,0,0,AFC
23-09-1993,162,Philippines,PHI,0,0,0,AFC
23-09-1993,163,Chad,CHA,0,0,0,CAF
23-09-1993,164,Vanuatu,VAN,0,0,0,OFC
23-09-1993,165,Aruba,ARU,0,0,0,CONCACAF
23-09-1993,166,Bahamas,BAH,0,0,0,CONCACAF
23-09-1993,166,Macau,MAC,0,0,1,AFC
23-09-1993,166,Maldives,MDV,0,0,1,AFC
22-10-1993,1,Brazil,BRA,0,59,0,CONMEBOL
22-10-1993,2,Norway,NOR,0,56,1,UEFA
22-10-1993,3,Italy,ITA,0,57,-1,UEFA
22-10-1993,4,Germany,GER,0,55,1,UEFA
22-10-1993,5,Denmark,DEN,0,56,-1,UEFA
22-10-1993,6,Netherlands,NED,0,53,7,UEFA
22-10-1993,7,Spain,ESP,0,52,7,UEFA
22-10-1993,8,Sweden,SWE,0,55,3,UEFA
22-10-1993,9,Argentina,ARG,0,55,3,CONMEBOL
22-10-1993,10,England,ENG,0,55,-5,UEFA
22-10-1993,11,Russia,RUS,0,55,-3,UEFA
22-10-1993,11,Republic of Ireland,IRL,0,55,-2,UEFA
22-10-1993,13,Switzerland,SUI,0,55,-3,UEFA
22-10-1993,14,France,FRA,0,55,-7,UEFA
22-10-1993,15,Romania,ROU,0,48,5,UEFA
22-10-1993,16,Nigeria,NGA,0,50,2,CAF
22-10-1993,17,Uruguay,URU,0,51,-2,CONMEBOL
22-10-1993,18,Mexico,MEX,0,51,-2,CONCACAF
22-10-1993,19,Colombia,COL,0,49,0,CONMEBOL
22-10-1993,20,Portugal,POR,0,47,1,UEFA
22-10-1993,21,RCS,TCH,0,50,-4,UEFA
22-10-1993,22,Cameroon,CMR,0,46,1,CAF
22-10-1993,23,Poland,POL,0,47,-1,UEFA
22-10-1993,24,Belgium,BEL,0,45,0,UEFA
22-10-1993,25,Zambia,ZAM,0,44,2,CAF
22-10-1993,26,USA,USA,0,45,0,CONCACAF
22-10-1993,27,Egypt,EGY,0,45,-2,CAF
22-10-1993,28,Wales,WAL,0,43,1,UEFA
22-10-1993,29,Scotland,SCO,0,43,-1,UEFA
22-10-1993,30,Morocco,MAR,0,41,2,CAF
22-10-1993,31,Algeria,ALG,0,42,-1,CAF
22-10-1993,32,Bulgaria,BUL,0,38,5,UEFA
22-10-1993,33,Ivory Coast,CIV,0,42,-2,CAF
22-10-1993,34,Austria,AUT,0,40,-1,UEFA
22-10-1993,35,Tunisia,TUN,0,40,-1,CAF
22-10-1993,36,Greece,GRE,0,39,-1,UEFA
22-10-1993,37,Korea Republic,KOR,0,38,-1,AFC
22-10-1993,38,Costa Rica,CRC,0,37,0,CONCACAF
22-10-1993,39,Honduras,HON,0,37,0,CONCACAF
22-10-1993,40,Ghana,GHA,0,36,2,CAF
22-10-1993,41,Ecuador,ECU,0,36,0,CONMEBOL
22-10-1993,42,Northern Ireland,NIR,0,37,-2,UEFA
22-10-1993,43,Zimbabwe,ZIM,0,34,4,CAF
22-10-1993,44,Japan,JPN,0,34,-1,AFC
22-10-1993,45,Finland,FIN,0,32,5,UEFA
22-10-1993,46,Saudi Arabia,KSA,0,34,-2,AFC
22-10-1993,47,Canada,CAN,0,34,-1,CONCACAF
22-10-1993,48,China PR,CHN,0,34,-3,AFC
22-10-1993,49,Hungary,HUN,0,34,-1,UEFA
22-10-1993,50,Iceland,ISL,0,33,-1,UEFA
22-10-1993,51,Qatar,QAT,0,32,3,AFC
22-10-1993,52,Chile,CHI,0,32,0,CONMEBOL
22-10-1993,53,Bolivia,BOL,0,32,0,CONMEBOL
22-10-1993,54,Gabon,GAB,0,32,-3,CAF
22-10-1993,55,United Arab Emirates,UAE,0,31,1,AFC
22-10-1993,56,Paraguay,PAR,0,31,-1,CONMEBOL
22-10-1993,57,Senegal,SEN,0,31,0,CAF
22-10-1993,58,Korea DPR,PRK,0,29,6,AFC
22-10-1993,59,IR Iran,IRN,0,30,-1,AFC
22-10-1993,60,El Salvador,SLV,0,29,3,CONCACAF
22-10-1993,61,Australia,AUS,0,28,4,AFC
22-10-1993,62,Kuwait,KUW,0,30,-1,AFC
22-10-1993,63,Guinea,GUI,0,30,-3,CAF
22-10-1993,64,Iraq,IRQ,0,30,-5,AFC
22-10-1993,65,Yugoslavia,YUG,0,29,-3,UEFA
22-10-1993,66,Israel,ISR,0,25,5,UEFA
22-10-1993,67,Turkey,TUR,0,27,-1,UEFA
22-10-1993,68,Thailand,THA,0,26,-1,AFC
22-10-1993,69,Malawi,MWI,0,26,-1,CAF
22-10-1993,70,Zaire,ZAI,0,26,-1,CAF
22-10-1993,71,Peru,PER,0,25,2,CONMEBOL
22-10-1993,72,Kenya,KEN,0,25,0,CAF
22-10-1993,73,Mali,MLI,0,26,-3,CAF
22-10-1993,74,Singapore,SIN,0,24,1,AFC
22-10-1993,75,Cyprus,CYP,0,24,-1,UEFA
22-10-1993,76,Jamaica,JAM,0,22,0,CONCACAF
22-10-1993,77,New Zealand,NZL,0,20,7,OFC
22-10-1993,78,Bermuda,BER,0,21,0,CONCACAF
22-10-1993,79,Malaysia,MAS,0,21,-2,AFC
22-10-1993,80,Bahrain,BHR,0,20,0,AFC
22-10-1993,81,Syria,SYR,0,20,0,AFC
22-10-1993,82,Niger,NIG,0,20,0,CAF
22-10-1993,83,Sierra Leone,SLE,0,21,-4,CAF
22-10-1993,84,Malta,MLT,0,19,1,UEFA
22-10-1993,85,Lithuania,LTU,0,18,1,UEFA
22-10-1993,86,Madagascar,MAD,0,20,-3,CAF
22-10-1993,87,Latvia,LVA,0,17,0,UEFA
22-10-1993,88,Trinidad and Tobago,TRI,0,17,0,CONCACAF
22-10-1993,89,Jordan,JOR,0,17,0,AFC
22-10-1993,90,Ethiopia,ETH,0,16,2,CAF
22-10-1993,91,Albania,ALB,0,16,0,UEFA
22-10-1993,92,Swaziland,SWZ,0,16,1,CAF
22-10-1993,93,Yemen,YEM,0,16,-3,AFC
22-10-1993,94,Venezuela,VEN,0,16,0,CONMEBOL
22-10-1993,95,South Africa,RSA,0,15,0,CAF
22-10-1993,96,Uganda,UGA,0,15,0,CAF
22-10-1993,97,Angola,ANG,0,14,0,CAF
22-10-1993,98,Burundi,BDI,0,13,0,CAF
22-10-1993,99,Tanzania,TAN,0,13,0,CAF
22-10-1993,100,India,IND,0,5,29,AFC
22-10-1993,101,Oman,OMA,0,13,-1,AFC
22-10-1993,102,Congo,CGO,0,13,-1,CAF
22-10-1993,103,Indonesia,IDN,0,13,-1,AFC
22-10-1993,104,Mozambique,MOZ,0,12,-1,CAF
22-10-1993,105,Puerto Rico,PUR,0,11,0,CONCACAF
22-10-1993,106,Luxembourg,LUX,0,11,4,UEFA
22-10-1993,106,Togo,TOG,0,12,-2,CAF
22-10-1993,108,Fiji,FIJ,0,8,13,OFC
22-10-1993,109,Myanmar,MYA,0,11,-2,AFC
22-10-1993,110,Hong Kong,HKG,0,11,-4,AFC
22-10-1993,111,Lebanon,LIB,0,11,-2,AFC
22-10-1993,112,Barbados,BRB,0,11,-4,CONCACAF
22-10-1993,113,Faroe Islands,FRO,0,10,-2,UEFA
22-10-1993,114,Guatemala,GUA,0,9,-1,CONCACAF
22-10-1993,115,Suriname,SUR,0,9,-1,CONCACAF
22-10-1993,116,Liberia,LBR,0,9,-4,CAF
22-10-1993,117,Sudan,SDN,0,9,-2,CAF
22-10-1993,118,Croatia,CRO,0,9,-2,UEFA
22-10-1993,119,Estonia,EST,0,8,-2,UEFA
22-10-1993,120,Ukraine,UKR,0,4,12,UEFA
22-10-1993,121,Bangladesh,BAN,0,8,-2,AFC
22-10-1993,122,San Marino,SMR,0,8,-4,UEFA
22-10-1993,123,Burkina Faso,BFA,0,8,-4,CAF
22-10-1993,124,Netherlands Antilles,ANT,0,7,-2,CONCACAF
22-10-1993,125,St Vincent and the Grenadines,VIN,0,7,-2,CONCACAF
22-10-1993,126,Benin,BEN,0,7,-2,CAF
22-10-1993,127,Mauritius,MRI,0,7,-3,CAF
22-10-1993,128,Panama,PAN,0,6,-2,CONCACAF
